97.5	68.4	55.9	8.2	1.0	0.5	0.0	1.4	3.5	16.0	27.3	71.9
216.6	183.7	184.2	70.9	19.8	6.3	4.5	5.4	16.3	60.0	108.1	170.1
200.2	182.8	187.7	65.3	22.0	6.7	3.6	5.1	15.1	45.0	110.0	176.4
153.2	152.9	138.9	49.4	11.6	2.8	3.4	3.1	5.4	28.1	61.1	130.4
192.6	154.2	110.6	33.0	8.0	1.5	3.9	3.8	7.6	25.1	62.2	145.6
142.4	116.7	160.4	84.6	57.5	18.6	13.1	16.1	30.4	72.5	119.0	132.6
177.7	154.7	126.5	169.1	192.7	148.3	115.8	94.2	160.3	237.0	186.3	186.9
230.6	172.3	151.1	62.5	25.9	13.1	7.4	8.5	16.1	65.1	103.0	175.9
134.8	100.6	91.1	35.9	17.2	6.6	3.0	2.0	12.3	44.7	66.7	114.2
161.1	165.6	174.4	202.3	78.4	63.8	30.6	38.0	68.9	134.7	168.2	146.9
165.7	128.7	144.8	175.0	99.3	68.9	47.5	44.2	90.8	142.0	166.5	163.4
167.3	161.9	175.1	206.6	91.9	70.5	37.5	47.2	75.7	150.7	184.3	157.7
167.2	154.9	144.1	193.8	138.2	139.8	103.3	93.9	145.1	226.0	181.0	179.9
96.3	73.6	65.0	29.3	9.0	2.9	3.8	4.2	9.4	17.6	35.9	65.0
83.8	69.2	52.4	27.0	12.6	4.7	8.1	3.2	7.3	25.9	50.2	68.0
130.6	119.7	134.5	70.4	21.3	8.4	12.5	6.7	27.1	62.6	89.0	130.2
132.0	122.4	153.5	95.4	35.4	18.7	15.6	13.0	36.4	83.8	103.2	143.7
141.4	156.6	168.3	155.6	58.9	49.3	31.2	26.3	53.1	114.0	159.8	136.4
128.0	154.3	166.8	205.0	129.8	101.4	73.7	56.8	108.7	152.6	149.9	120.6
15.7	18.9	11.2	4.4	4.4	1.6	3.5	3.2	5.6	3.6	7.0	11.6
105.0	95.1	68.2	26.6	9.9	2.1	4.9	1.7	9.4	30.4	42.6	83.5
121.1	102.2	94.4	42.4	17.6	4.7	13.2	6.1	22.9	35.1	75.1	113.3
141.0	115.9	126.9	66.3	21.3	4.8	13.5	9.7	35.2	71.9	118.3	156.9
126.3	97.0	112.1	61.3	18.8	4.5	13.3	8.9	35.2	69.8	112.2	154.6
132.2	106.1	109.6	63.4	23.9	4.9	13.8	9.6	33.1	66.6	103.2	130.1
95.4	112.0	146.4	116.2	49.4	31.5	23.9	28.4	53.2	110.5	128.9	124.9
115.2	134.8	155.0	132.7	58.3	38.2	32.4	32.4	61.2	127.6	118.7	141.2
154.1	144.7	154.3	189.7	110.9	88.4	64.1	57.5	107.3	146.5	154.0	134.1
133.9	145.7	156.5	163.4	99.7	82.4	52.2	58.7	85.6	136.9	140.8	121.0
45.0	36.3	43.0	15.8	9.2	3.7	6.8	6.4	12.4	12.7	20.1	28.4
50.5	33.7	34.9	16.5	10.5	6.3	8.0	8.0	15.1	10.4	16.4	24.3
40.0	43.0	38.7	19.6	12.9	8.7	10.9	10.4	18.8	13.7	20.7	28.0
119.5	97.5	98.9	41.4	19.8	5.7	11.2	8.6	24.3	40.5	80.4	110.1
103.7	85.7	94.6	55.0	28.5	9.5	18.8	17.1	35.2	58.8	85.9	113.1
144.5	90.6	107.8	64.7	31.5	8.4	14.5	13.9	40.1	75.4	128.7	138.6
114.3	115.0	108.1	96.3	36.8	15.8	17.0	21.2	43.1	94.6	101.1	148.3
111.8	120.6	144.8	111.8	59.0	27.7	24.7	32.4	47.4	108.5	112.3	120.6
109.6	102.5	131.6	113.9	82.7	56.0	50.6	54.4	71.0	110.1	119.9	116.5
25.0	26.4	33.5	22.9	26.9	38.7	34.1	30.1	23.9	19.6	22.3	29.6
61.0	42.8	37.2	26.1	15.6	9.1	13.2	16.0	27.4	30.5	38.6	45.3
111.2	102.7	143.8	70.4	32.8	17.4	22.0	24.9	55.2	87.2	99.8	124.4
120.7	105.7	138.8	83.4	36.0	11.7	17.6	17.2	47.3	91.0	105.0	128.7
119.6	101.2	149.3	79.9	49.0	25.8	24.0	28.8	63.6	116.1	104.3	107.0
132.3	118.8	133.2	109.1	61.2	26.8	31.5	32.4	55.3	122.8	110.7	110.0
127.9	114.2	144.8	110.3	60.8	38.4	38.3	35.2	61.7	113.0	108.8	106.9
116.3	128.6	118.0	110.1	74.1	51.4	59.7	58.6	0.0	124.9	121.5	108.4
117.5	115.0	121.9	104.3	78.9	49.7	50.3	54.5	57.2	117.7	106.6	105.9
101.7	113.1	114.4	93.2	76.6	47.3	47.2	55.1	59.7	110.5	103.0	98.0
117.4	107.7	127.6	105.6	84.4	48.7	52.8	56.3	61.7	110.4	103.7	105.2
